contrast_name,contrast_scope,contrast_group,total_videos,black_avoidance_count,white_avoidance_count,no_avoidance_count,black_avoidance_share,black_avoidance_ci_low,black_avoidance_ci_high,white_avoidance_share,white_avoidance_ci_low,white_avoidance_ci_high,no_avoidance_share,no_avoidance_ci_low,no_avoidance_ci_high,decisive_videos,black_vs_white_binomial_p_value,permutation_chi_square,permutation_p_value,cramers_v
same_sex_vs_mixed_sex,white_code,same_sex,24,13,8,3,0.5416666666666666,0.3507486535891947,0.7210866626878901,0.3333333333333333,0.1797219032729775,0.5329368316186827,0.125,0.04344334080123441,0.31003881270500083,21,0.38331031799316406,0.08961549591387058,1.0,0.038328924983507186
same_sex_vs_mixed_sex,white_code,mixed_sex,37,21,11,5,0.5675675675675675,0.4091418109016808,0.7132828072284269,0.2972972972972973,0.1748947864983201,0.45783135911135653,0.13513513513513514,0.059132944257320144,0.2797741178400979,32,0.11018416518345475,0.08961549591387058,1.0,0.038328924983507186
same_sex_vs_mixed_sex,black_code,same_sex,35,20,10,5,0.5714285714285714,0.40857411143974914,0.7201543182281931,0.2857142857142857,0.1632653623643469,0.4505493486318262,0.14285714285714285,0.06260231079433712,0.29375554086595146,30,0.09873714670538905,0.2898968291770147,0.8752249550089982,0.0689377040210128
same_sex_vs_mixed_sex,black_code,mixed_sex,26,14,9,3,0.5384615384615384,0.3545793874685879,0.7124414646960879,0.34615384615384615,0.19412230322940516,0.5377942881118919,0.11538461538461539,0.040032446236106134,0.28975903211713644,23,0.4048728942871094,0.2898968291770147,0.8752249550089982,0.0689377040210128
FM_vs_MF,white_code,FM,21,11,8,2,0.5238095238095238,0.3236953458284443,0.7165599389846583,0.38095238095238093,0.2075101136856449,0.5912134622488425,0.09523809523809523,0.026518767438074492,0.28914139073918255,19,0.6476058959960938,1.8789837146980009,0.46490701859628075,0.22535160003977453
FM_vs_MF,white_code,MF,16,10,3,3,0.625,0.38641040545502714,0.8151876744113636,0.1875,0.06591599071428139,0.43008880961974144,0.1875,0.06591599071428139,0.43008880961974144,13,0.09228515625,1.8789837146980009,0.46490701859628075,0.22535160003977453
FM_vs_MF,black_code,FM,11,4,5,2,0.36363636363636365,0.1516647109536757,0.6461988254921511,0.45454545454545453,0.2127127162245977,0.719908462590678,0.18181818181818182,0.051367689746085105,0.47698056196084426,9,1.0,2.4586820586820597,0.4549090181963607,0.30751373069294746
FM_vs_MF,black_code,MF,15,10,4,1,0.6666666666666666,0.41713547738519763,0.8482367556028527,0.26666666666666666,0.10897453325692366,0.5195043405598057,0.06666666666666667,0.011866895493268553,0.2981652987378003,14,0.1795654296875,2.4586820586820597,0.4549090181963607,0.30751373069294746
actor_F_vs_actor_M,video,F,26,12,11,3,0.46153846153846156,0.2875585353039122,0.6454206125314121,0.4230769230769231,0.2554444331365656,0.6105138625340829,0.11538461538461539,0.040032446236106134,0.28975903211713644,23,1.0,2.6445595039635283,0.28734253149370126,0.20821487576829228
actor_F_vs_actor_M,video,M,35,22,8,5,0.6285714285714286,0.4633693684359532,0.7683418049663429,0.22857142857142856,0.12065879834191684,0.3901731689199025,0.14285714285714285,0.06260231079433712,0.29375554086595146,30,0.016124801710247997,2.6445595039635283,0.28734253149370126,0.20821487576829228
