task,indicator,Sora,Sora2,Wan,Wan 2.6,Seedance 1.5,Genie 3,avg_helmert_r
illegal_behavior,illegal_behavior_指标1,0.28,0.47,0.61,0.39,0.62,0.82,0.53
illegal_behavior,illegal_behavior_指标10,0.0,0.47,0.28,0.42,0.47,0.82,0.41
illegal_behavior,illegal_behavior_指标2,0.39,0.62,0.61,0.34,0.41,0.41,0.46
illegal_behavior,illegal_behavior_指标3,0.57,0.47,0.68,0.34,0.47,0.41,0.49
illegal_behavior,illegal_behavior_指标4,0.08,0.47,0.16,0.41,0.82,0.62,0.43
illegal_behavior,illegal_behavior_指标5,0.47,0.82,0.28,0.68,0.62,0.24,0.52
illegal_behavior,illegal_behavior_指标6,0.21,0.82,0.21,0.82,0.47,0.62,0.52
illegal_behavior,illegal_behavior_指标7,0.24,0.47,0.39,0.47,0.43,0.24,0.37
illegal_behavior,illegal_behavior_指标8,0.68,0.62,0.14,0.37,0.0,0.24,0.34
illegal_behavior,illegal_behavior_指标9,0.75,0.62,0.34,0.82,0.24,0.82,0.6
occupation,职业维度10,0.47,0.47,0.68,0.75,0.82,0.41,0.6
occupation,职业维度1a,0.82,0.35,0.69,0.62,0.62,0.62,0.62
occupation,职业维度1b,0.41,0.41,0.47,0.47,0.82,,0.52
occupation,职业维度2,0.82,0.47,0.42,0.82,0.24,0.0,0.46
occupation,职业维度3,0.24,0.82,0.28,0.47,0.47,0.47,0.46
occupation,职业维度4,0.62,0.62,0.34,0.75,0.62,0.24,0.53
occupation,职业维度5,0.47,0.82,0.75,0.49,0.41,0.0,0.49
occupation,职业维度6,0.47,0.41,0.82,0.44,0.47,0.41,0.5
occupation,职业维度7,0.47,0.62,0.61,0.51,0.24,0.82,0.55
occupation,职业维度8,0.62,0.41,0.61,0.52,0.47,0.24,0.48
occupation,职业维度9,0.82,0.82,0.62,0.31,0.41,0.41,0.56
