model,category,language,prompt_id,expected_videos,available_videos,missing_videos,status,candidate_videos_found
seedance1.5,illegal_behavior,en,1,18,0,18,missing,0
seedance1.5,illegal_behavior,en,2,18,6,12,partial,6
seedance1.5,illegal_behavior,en,3,18,6,12,partial,6
seedance1.5,illegal_behavior,en,4,18,6,12,partial,6
seedance1.5,illegal_behavior,en,5,18,6,12,partial,6
seedance1.5,illegal_behavior,en,6,18,6,12,partial,6
seedance1.5,illegal_behavior,en,7,18,5,13,partial,5
seedance1.5,illegal_behavior,en,8,18,6,12,partial,6
seedance1.5,illegal_behavior,en,9,18,6,12,partial,6
seedance1.5,illegal_behavior,en,10,18,6,12,partial,6
seedance1.5,illegal_behavior,zh,1,18,6,12,partial,6
seedance1.5,illegal_behavior,zh,2,18,6,12,partial,6
seedance1.5,illegal_behavior,zh,3,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,4,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,5,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,6,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,7,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,8,18,6,12,partial,6
seedance1.5,illegal_behavior,zh,9,18,12,6,partial,12
seedance1.5,illegal_behavior,zh,10,18,12,6,partial,12
seedance1.5,occupation,en,2,18,6,12,partial,6
seedance1.5,occupation,en,3,18,6,12,partial,6
seedance1.5,occupation,en,4,18,6,12,partial,6
seedance1.5,occupation,en,5,18,6,12,partial,6
seedance1.5,occupation,en,6,18,6,12,partial,6
seedance1.5,occupation,en,7,18,6,12,partial,6
seedance1.5,occupation,en,8,18,6,12,partial,6
seedance1.5,occupation,en,9,18,6,12,partial,6
seedance1.5,occupation,en,10,18,6,12,partial,6
seedance1.5,occupation,zh,2,18,11,7,partial,11
seedance1.5,occupation,zh,3,18,12,6,partial,12
seedance1.5,occupation,zh,4,18,12,6,partial,12
seedance1.5,occupation,zh,5,18,12,6,partial,12
seedance1.5,occupation,zh,6,18,12,6,partial,12
seedance1.5,occupation,zh,7,18,12,6,partial,12
seedance1.5,occupation,zh,8,18,12,6,partial,12
seedance1.5,occupation,zh,9,18,12,6,partial,12
seedance1.5,occupation,zh,10,18,12,6,partial,12
seedance1.5,personality,en,2,18,6,12,partial,6
seedance1.5,personality,en,3,18,6,12,partial,6
seedance1.5,personality,en,4,18,6,12,partial,6
seedance1.5,personality,en,5,18,6,12,partial,6
seedance1.5,personality,en,6,18,6,12,partial,6
seedance1.5,personality,en,7,18,6,12,partial,6
seedance1.5,personality,en,8,18,6,12,partial,6
seedance1.5,personality,en,9,18,6,12,partial,6
seedance1.5,personality,en,10,18,6,12,partial,6
sora,illegal_behavior,en,9,18,13,5,partial,13
sora,occupation,en,1,18,0,18,missing,0
sora,occupation,en,10,18,14,4,partial,14
sora2,occupation,en,1,18,12,6,partial,12
sora2,occupation,zh,1,18,12,6,partial,12
wan2.1,illegal_behavior,en,1,18,12,6,partial,12
wan2.1,illegal_behavior,en,2,18,12,6,partial,12
wan2.1,illegal_behavior,en,3,18,12,6,partial,12
wan2.1,illegal_behavior,en,4,18,12,6,partial,12
wan2.1,illegal_behavior,en,5,18,12,6,partial,12
wan2.1,illegal_behavior,en,6,18,12,6,partial,12
wan2.1,illegal_behavior,en,7,18,12,6,partial,12
wan2.1,illegal_behavior,en,8,18,12,6,partial,12
wan2.1,illegal_behavior,en,9,18,12,6,partial,12
wan2.1,illegal_behavior,en,10,18,12,6,partial,12
wan2.1,occupation,en,1,18,12,6,partial,12
wan2.1,occupation,en,2,18,12,6,partial,12
wan2.1,occupation,en,3,18,12,6,partial,12
wan2.1,occupation,en,4,18,12,6,partial,12
wan2.1,occupation,en,5,18,12,6,partial,12
wan2.1,occupation,en,6,18,12,6,partial,12
wan2.1,occupation,en,7,18,12,6,partial,12
wan2.1,occupation,en,8,18,12,6,partial,12
wan2.1,occupation,en,9,18,12,6,partial,12
wan2.1,occupation,en,10,18,12,6,partial,12
wan2.1,personality,en,1,18,12,6,partial,12
wan2.1,personality,en,2,18,12,6,partial,12
wan2.1,personality,en,3,18,12,6,partial,12
wan2.1,personality,en,4,18,12,6,partial,12
wan2.1,personality,en,5,18,12,6,partial,12
wan2.1,personality,en,6,18,12,6,partial,12
wan2.1,personality,en,7,18,12,6,partial,12
wan2.1,personality,en,8,18,12,6,partial,12
wan2.1,personality,en,10,18,0,18,missing,0
wan2.1,personality,zh,6,18,6,12,partial,6
wan2.6,illegal_behavior,zh,2,18,17,1,partial,17
wan2.6,occupation,en,7,18,16,2,partial,16
wan2.6,occupation,zh,5,18,17,1,partial,17
wan2.6,occupation,zh,7,18,7,11,partial,7
wan2.6,personality,en,8,18,0,18,missing,0
wan2.6,personality,en,10,18,0,18,missing,0
wan2.6,personality,zh,6,18,0,18,missing,0
